Category,City,Country,Customer Name,Order Date,Order ID,Product Name,Ship Date,State,Customers,Orders,profit margin,Quantity,Total Profit,Total Sales
Phones,Seattle,United States,Greg Tran,07-12-2013,US-2013-169040,Google Nexus 5,13-12-2013,Washington,1,1,0.0625,3,26.9985,431.976
Envelopes,Seattle,United States,Greg Tran,07-12-2013,US-2013-169040,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,13-12-2013,Washington,1,1,0.45,1,16.1505,35.89
Binders,Seattle,United States,Greg Tran,07-12-2013,US-2013-169040,Ibico Plastic and Wire Spiral Binding Combs,13-12-2013,Washington,1,1,0.325,7,15.3426,47.208
Paper,Seattle,United States,Greg Tran,07-12-2013,US-2013-169040,Xerox 1880,13-12-2013,Washington,1,1,0.47,7,116.5976,248.08
Paper,Seattle,United States,Greg Tran,07-12-2013,US-2013-169040,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",13-12-2013,Washington,1,1,0.47,5,89.159,189.7
Binders,Seattle,United States,Greg Tran,07-12-2013,US-2013-169040,GBC Standard Therm-A-Bind Covers,13-12-2013,Washington,1,1,0.325,3,19.4376,59.808
Storage,Los Angeles,United States,Mick Crebagga,20-11-2014,CA-2014-126242,"File Shuttle II and Handi-File, Black",25-11-2014,California,1,1,0.25,9,76.2525,305.01
Furnishings,Los Angeles,United States,Mick Crebagga,20-11-2014,CA-2014-126242,"Executive Impressions 13-1/2"" Indoor/Outdoor Wall Clock",25-11-2014,California,1,1,0.38,1,7.106,18.7
Furnishings,San Francisco,United States,Lisa Hazard,05-11-2013,CA-2013-166443,Advantus Panel Wall Acrylic Frame,06-11-2013,California,1,1,0.43,7,16.4647,38.29
Furnishings,San Diego,United States,Mike Pelletier,15-12-2014,CA-2014-169859,"Eldon 400 Class Desk Accessories, Black Carbon",19-12-2014,California,1,1,0.42,3,11.025,26.25
Binders,San Diego,United States,Mike Pelletier,15-12-2014,CA-2014-169859,"Wilson Jones Clip & Carry Folder Binder Tool for Ring Binders, Clear",19-12-2014,California,1,1,0.35,14,22.736,64.96
Envelopes,San Diego,United States,Mike Pelletier,15-12-2014,CA-2014-169859,"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",19-12-2014,California,1,1,0.47,5,20.539,43.7
Accessories,Glendale,United States,Eugene Moren,13-11-2014,CA-2014-134915,Memorex Micro Travel Drive 8 GB,13-11-2014,Arizona,1,1,0.3125,4,13,41.6
Paper,Glendale,United States,Eugene Moren,13-11-2014,CA-2014-134915,Xerox 1978,13-11-2014,Arizona,1,1,0.3625,5,8.381,23.12
Chairs,Glendale,United States,Eugene Moren,13-11-2014,CA-2014-134915,Harbour Creations 67200 Series Stacking Chairs,13-11-2014,Arizona,1,1,0.0875,2,9.9652,113.888
Furnishings,Glendale,United States,Eugene Moren,13-11-2014,CA-2014-134915,"Tenex V2T-RE Standard Weight Series Chair Mat, 45"" x 53"", Lip 25"" x 12""",13-11-2014,Arizona,1,1,-0.05,2,-5.6784,113.568
Phones,Glendale,United States,Eugene Moren,13-11-2014,CA-2014-134915,Cush Cases Heavy Duty Rugged Cover Case for Samsung Galaxy S5 - Purple,13-11-2014,Arizona,1,1,0.0875,2,0.693,7.92
Phones,Glendale,United States,Eugene Moren,13-11-2014,CA-2014-134915,Samsung Galaxy Mega 6.3,13-11-2014,Arizona,1,1,0.075,2,50.3988,671.984
Binders,Los Angeles,United States,Kean Takahito,24-12-2012,CA-2012-158456,Avery Hole Reinforcements,29-12-2012,California,1,1,0.3625,4,7.2268,19.936
Fasteners,Los Angeles,United States,Kean Takahito,24-12-2012,CA-2012-158456,"Vinyl Coated Wire Paper Clips in Organizer Box, 800/Box",29-12-2012,California,1,1,0.47,4,21.5824,45.92
Paper,Seattle,United States,Philisse Overcash,27-04-2014,CA-2014-143665,Strathmore Photo Mount Cards,02-05-2014,Washington,1,1,0.46,3,9.3564,20.34
Labels,Seattle,United States,Philisse Overcash,27-04-2014,CA-2014-143665,Avery 478,02-05-2014,Washington,1,1,0.49,8,19.2472,39.28
Chairs,Oceanside,United States,Andy Yotov,17-12-2014,CA-2014-137428,"Global Deluxe Stacking Chair, Gray",22-12-2014,California,1,1,0.1125,2,9.1764,81.568
Chairs,Oceanside,United States,Andy Yotov,17-12-2014,CA-2014-137428,"Global Value Steno Chair, Gray",22-12-2014,California,1,1,0.0625,2,6.074,97.184
Binders,Oceanside,United States,Andy Yotov,17-12-2014,CA-2014-137428,Prestige Round Ring Binders,22-12-2014,California,1,1,0.3375,5,8.208,24.32
Furnishings,Oceanside,United States,Andy Yotov,17-12-2014,CA-2014-137428,"DAX Two-Tone Rosewood/Black Document Frame, Desktop, 5 x 7",22-12-2014,California,1,1,0.4,2,7.584,18.96
Chairs,Seattle,United States,Clay Ludtke,12-07-2011,CA-2011-131310,"Safco Chair Connectors, 6/Carton",18-07-2011,Washington,1,1,0.1125,4,13.8528,123.136
Binders,Seattle,United States,Clay Ludtke,12-07-2011,CA-2011-131310,Self-Adhesive Ring Binder Labels,18-07-2011,Washington,1,1,0.3375,4,3.8016,11.264
Storage,Springfield,United States,Ryan Crowe,06-12-2011,US-2011-112872,File Shuttle I and Handi-File,11-12-2011,Oregon,1,1,0.0875,3,4.6746,53.424
Tables,Springfield,United States,Ryan Crowe,06-12-2011,US-2011-112872,"Chromcraft Bull-Nose Wood 48"" x 96"" Rectangular Conference Tables",11-12-2011,Oregon,1,1,-0.62,1,-170.8038,275.49
Accessories,Los Angeles,United States,Matthew Clasen,21-02-2013,CA-2013-139010,SanDisk Ultra 16 GB MicroSDHC Class 10 Memory Card,26-02-2013,California,1,1,0.06,1,0.7794,12.99
Binders,Los Angeles,United States,Matthew Clasen,21-02-2013,CA-2013-139010,"Wilson Jones Clip & Carry Folder Binder Tool for Ring Binders, Clear",26-02-2013,California,1,1,0.35,4,6.496,18.56
Storage,Los Angeles,United States,Matthew Clasen,21-02-2013,CA-2013-139010,Fellowes Officeware Wire Shelving,26-02-2013,California,1,1,0.02,5,8.983,449.15
Binders,Los Angeles,United States,Matthew Clasen,21-02-2013,CA-2013-139010,Avery Heavy-Duty EZD  Binder With Locking Rings,26-02-2013,California,1,1,0.35,7,10.9368,31.248
Binders,Stockton,United States,Annie Thurman,10-09-2013,CA-2013-112893,VariCap6 Expandable Binder,14-09-2013,California,1,1,0.3375,4,18.684,55.36
Storage,Phoenix,United States,Philip Brown,14-07-2011,US-2011-150532,Eldon Fold 'N Roll Cart System,21-07-2011,Arizona,1,1,0.1125,5,6.291,55.92
Binders,Rancho Cucamonga,United States,Allen Armold,24-10-2011,CA-2011-130729,Avery Premier Heavy-Duty Binder with Round Locking Rings,29-10-2011,California,1,1,0.325,3,11.1384,34.272
Binders,Louisville,United States,Sharelle Roach,18-04-2014,CA-2014-134845,Insertable Tab Post Binder Dividers,24-04-2014,Colorado,1,1,-0.766666667,5,-9.223,12.03
Machines,Louisville,United States,Sharelle Roach,18-04-2014,CA-2014-134845,Lexmark MX611dhe Monochrome Laser Printer,24-04-2014,Colorado,1,1,-1.333333333,5,-3399.98,2549.985
Binders,Louisville,United States,Sharelle Roach,18-04-2014,CA-2014-134845,GBC VeloBinder Manual Binding System,24-04-2014,Colorado,1,1,-0.733333333,2,-15.8356,21.594
Binders,Louisville,United States,Sharelle Roach,18-04-2014,CA-2014-134845,Cardinal Holdit Business Card Pockets,24-04-2014,Colorado,1,1,-0.733333333,6,-6.5736,8.964
Paper,Louisville,United States,Sharelle Roach,18-04-2014,CA-2014-134845,Xerox 225,24-04-2014,Colorado,1,1,0.35,4,7.2576,20.736
Fasteners,West Jordan,United States,Sanjit Chand,08-11-2012,CA-2012-123568,Alliance Rubber Bands,14-11-2012,Utah,1,1,0.04,3,0.2016,5.04
Paper,West Jordan,United States,Sanjit Chand,08-11-2012,CA-2012-123568,Xerox 1988,14-11-2012,Utah,1,1,0.45,3,41.823,92.94
Furnishings,West Jordan,United States,Sanjit Chand,08-11-2012,CA-2012-123568,"Executive Impressions 14"" Contract Wall Clock",14-11-2012,Utah,1,1,0.33,3,22.0077,66.69
Binders,West Jordan,United States,Sanjit Chand,08-11-2012,CA-2012-123568,Deluxe Heavy-Duty Vinyl Round Ring Binder,14-11-2012,Utah,1,1,0.3125,5,28.65,91.68
Binders,Billings,United States,Robert Barroso,24-08-2011,CA-2011-106719,"SlimView Poly Binder, 3/8""",24-08-2011,Montana,1,1,0.325,2,2.6936,8.288
Phones,Gresham,United States,Dan Reichenbach,25-03-2013,US-2013-164189,BlackBerry Q10,29-03-2013,Oregon,1,1,0.0625,4,25.198,403.168
Chairs,Gresham,United States,Justin Hirsh,22-11-2013,US-2013-114293,Novimex Fabric Task Chair,27-11-2013,Oregon,1,1,-0.0625,4,-12.196,195.136
Tables,Pasadena,United States,Aaron Smayling,04-10-2014,CA-2014-101749,"Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table",09-10-2014,California,1,1,-0.0375,3,-6.4233,171.288
Paper,Long Beach,United States,Karen Ferguson,12-09-2014,CA-2014-149559,Xerox 1996,13-09-2014,California,1,1,0.48,2,6.2208,12.96
Envelopes,Long Beach,United States,Karen Ferguson,12-09-2014,CA-2014-149559,#10 Self-Seal White Envelopes,13-09-2014,California,1,1,0.49,2,10.8682,22.18
Chairs,Long Beach,United States,Karen Ferguson,12-09-2014,CA-2014-149559,Hon Pagoda Stacking Chairs,13-09-2014,California,1,1,0.125,8,256.784,2054.272
Binders,Seattle,United States,Doug Bickford,30-09-2011,CA-2011-137351,DXL Angle-View Binders with Locking Rings by Samsill,04-10-2011,Washington,1,1,0.3125,7,13.4925,43.176
Furnishings,Meridian,United States,Nick Zandusky,07-10-2014,US-2014-148054,36X48 HARDFLOOR CHAIRMAT,12-10-2014,Idaho,1,1,0.07,2,2.9372,41.96
Appliances,Meridian,United States,Nick Zandusky,07-10-2014,US-2014-148054,"Conquest 14 Commercial Heavy-Duty Upright Vacuum, Collection System, Accessory Kit",12-10-2014,Idaho,1,1,0.29,4,66.0736,227.84
Paper,Meridian,United States,Nick Zandusky,07-10-2014,US-2014-148054,Computer Printout Paper with Letter-Trim Perforations,12-10-2014,Idaho,1,1,0.48,2,18.2112,37.94
Envelopes,San Francisco,United States,Hilary Holden,20-10-2014,CA-2014-131492,Ampad #10 Peel & Seel Holiday Envelopes,25-10-2014,California,1,1,0.48,2,4.3008,8.96
Labels,San Francisco,United States,Hilary Holden,20-10-2014,CA-2014-131492,Avery 518,25-10-2014,California,1,1,0.48,10,15.12,31.5
Furnishings,San Francisco,United States,Hilary Holden,20-10-2014,CA-2014-131492,"Linden 10"" Round Wall Clock, Black",25-10-2014,California,1,1,0.34,2,10.3904,30.56
Tables,San Francisco,United States,Hilary Holden,20-10-2014,CA-2014-131492,Anderson Hickey Conga Table Tops & Accessories,25-10-2014,California,1,1,-0.1375,2,-3.3506,24.368
Storage,Albuquerque,United States,Benjamin Farhat,14-03-2014,CA-2014-106859,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",19-03-2014,New Mexico,1,1,0.28,8,25.424,90.8
Phones,Albuquerque,United States,Benjamin Farhat,14-03-2014,CA-2014-106859,OtterBox Commuter Series Case - iPhone 5 & 5s,19-03-2014,New Mexico,1,1,0.35,8,49.2576,140.736
Accessories,Albuquerque,United States,Benjamin Farhat,14-03-2014,CA-2014-106859,Logitech Wireless Headset H600 Over-The-Head Design,19-03-2014,New Mexico,1,1,0.41,5,88.1295,214.95
Paper,Albuquerque,United States,Benjamin Farhat,14-03-2014,CA-2014-106859,Xerox 230,19-03-2014,New Mexico,1,1,0.48,7,21.7728,45.36
Paper,Albuquerque,United States,Benjamin Farhat,14-03-2014,CA-2014-106859,Xerox 1885,19-03-2014,New Mexico,1,1,0.48,6,138.3552,288.24
Storage,Los Angeles,United States,Lena Radford,03-01-2013,CA-2013-125206,Recycled Steel Personal File for Hanging File Folders,05-01-2013,California,1,1,0.25,2,28.615,114.46
Bookcases,Los Angeles,United States,Bruce Stewart,03-10-2012,CA-2012-126137,"Safco Value Mate Series Steel Bookcases, Baked Enamel Finish on Steel, Gray",08-10-2012,California,1,1,0.152941176,2,18.4548,120.666
Art,San Diego,United States,Bradley Talbott,21-05-2011,CA-2011-104780,4009 Highlighters by Sanford,25-05-2011,California,1,1,0.33,8,10.5072,31.84
Accessories,Gilbert,United States,Katherine Murray,21-02-2014,CA-2014-135937,Microsoft Wireless Mobile Mouse 4000,28-02-2014,Arizona,1,1,0.15,1,4.7988,31.992
Accessories,Tempe,United States,Erin Smith,02-10-2011,CA-2011-108189,Kingston Digital DataTraveler 16GB USB 2.0,05-10-2011,Arizona,1,1,-0.0125,1,-0.0895,7.16
Art,Phoenix,United States,Maria Zettner,10-10-2013,CA-2013-114748,Newell 310,15-10-2013,Arizona,1,1,0.1125,1,0.1584,1.408
Binders,Glendale,United States,Natalie DeCherney,22-10-2014,US-2014-117331,Lock-Up Easel 'Spel-Binder',29-10-2014,Arizona,1,1,-0.766666667,1,-6.5619,8.559
Envelopes,Bullhead City,United States,Gary Zandusky,20-12-2012,CA-2012-154795,#6 3/4 Gummed Flap White Envelopes,24-12-2012,Arizona,1,1,0.35,1,2.772,7.92
Paper,Chandler,United States,Dionis Lloyd,22-08-2014,CA-2014-144750,Xerox 1941,22-08-2014,Arizona,1,1,0.35,1,29.358,83.88
Paper,Mesa,United States,Tamara Willingham,28-10-2014,CA-2014-134880,Xerox 1882,02-11-2014,Arizona,1,1,0.3625,1,16.2342,44.784
Phones,Phoenix,United States,Nora Paige,19-07-2013,CA-2013-162110,iHome FM Clock Radio with Lightning Dock,23-07-2013,Arizona,1,1,0.0625,1,3.4995,55.992
Storage,Glendale,United States,Maya Herman,11-03-2013,CA-2013-108959,"Mini 13-1/2 Capacity Data Binder Rack, Pearl",15-03-2013,Arizona,1,1,0.0625,1,6.5435,104.696
Storage,Glendale,United States,Thea Hendricks,13-04-2012,CA-2012-133837,"Neat Ideas Personal Hanging Folder Files, Black",18-04-2012,Arizona,1,1,0.075,1,0.8058,10.744
Tables,Chandler,United States,Neil Ducich,19-09-2011,CA-2011-138177,Hon 2111 Invitation Series Straight Table,24-09-2011,Arizona,1,1,-0.62,1,-45.8273,73.915
Tables,Phoenix,United States,Laurel Workman,26-12-2013,CA-2013-109827,KI Conference Tables,02-01-2014,Arizona,1,1,-0.68,1,-24.1026,35.445
Accessories,Avondale,United States,Kunst Miller,24-09-2012,US-2012-106873,HP Standard 104 key PS/2 Keyboard,29-09-2012,Arizona,1,1,0.0625,2,1.45,23.2
Accessories,Peoria,United States,Steven Cartwright,17-08-2012,CA-2012-119627,ImationÂ Clip USBÂ flash driveÂ - 8 GB,23-08-2012,Arizona,1,1,-0.175,2,-5.264,30.08
Accessories,Phoenix,United States,Adrian Barton,20-09-2014,CA-2014-153822,Sony Micro Vault Click 16 GB USB 2.0 Flash Drive,26-09-2014,Arizona,1,1,0.05,2,4.4792,89.584
Accessories,Phoenix,United States,Eudokia Martin,21-11-2012,US-2012-159499,Belkin Standard 104 key USB Keyboard,23-11-2012,Arizona,1,1,-0.0625,2,-1.459,23.344
Accessories,Phoenix,United States,Laurel Workman,26-12-2013,CA-2013-109827,Hypercom P1300 Pinpad,02-01-2014,Arizona,1,1,0.2125,2,21.42,100.8
Accessories,Tucson,United States,Harold Pawlan,24-01-2014,CA-2014-161893,Logitech Wireless Anywhere Mouse MX for PC and Mac,28-01-2014,Arizona,1,1,0.125,2,11.998,95.984
Art,Avondale,United States,Kunst Miller,24-09-2012,US-2012-106873,Dixon Ticonderoga Core-Lock Colored Pencils,29-09-2012,Arizona,1,1,0.1625,2,2.3686,14.576
Art,Chandler,United States,Ashley Jarboe,07-10-2014,CA-2014-137421,Avery Hi-Liter Smear-Safe Highlighters,12-10-2014,Arizona,1,1,0.2,2,1.8688,9.344
Art,Phoenix,United States,Linda Cazamias,12-09-2013,CA-2013-143476,"Crayola Anti Dust Chalk, 12/Pack",14-09-2013,Arizona,1,1,0.3125,2,0.91,2.912
Binders,Glendale,United States,Frank Olsen,09-06-2014,US-2014-107979,GBC VeloBinder Electric Binding Machine,14-06-2014,Arizona,1,1,-0.666666667,2,-48.392,72.588
Binders,Mesa,United States,Mark Van Huff,25-11-2014,CA-2014-169894,GBC Recycled Grain Textured Covers,30-11-2014,Arizona,1,1,-0.733333333,2,-15.1976,20.724
Binders,Phoenix,United States,Randy Ferguson,13-12-2011,CA-2011-124079,"Cardinal Slant-D Ring Binder, Heavy Gauge Vinyl",17-12-2011,Arizona,1,1,-0.8,2,-4.1712,5.214
Binders,Tucson,United States,Erin Smith,20-12-2013,CA-2013-134936,"Cardinal Slant-D Ring Binder, Heavy Gauge Vinyl",26-12-2013,Arizona,1,1,-0.8,2,-4.1712,5.214
Binders,Tucson,United States,Harold Pawlan,24-01-2014,CA-2014-161893,Wilson Jones data.warehouse D-Ring Binders with DublLock,28-01-2014,Arizona,1,1,-0.733333333,2,-3.6212,4.938
Chairs,Mesa,United States,Toby Gnade,14-07-2012,CA-2012-143364,SAFCO Arco Folding Chair,19-07-2012,Arizona,1,1,0.1125,2,49.716,441.92
Chairs,Phoenix,United States,Laurel Workman,26-12-2013,CA-2013-109827,"Global Stack Chair with Arms, Black",02-01-2014,Arizona,1,1,0.0875,2,4.1972,47.968
Chairs,Phoenix,United States,Maris LaWare,19-07-2014,US-2014-142573,"Global Fabric Manager's Chair, Dark Gray",24-07-2014,Arizona,1,1,0.0625,2,10.098,161.568
Fasteners,Glendale,United States,Jim Mitchum,08-04-2011,CA-2011-100363,Binder Clips by OIC,15-04-2011,Arizona,1,1,0.35,2,0.8288,2.368
Fasteners,Tempe,United States,Erin Smith,02-10-2011,CA-2011-108189,Staples,05-10-2011,Arizona,1,1,0.3125,2,1.46,4.672
Furnishings,Bullhead City,United States,Gary Zandusky,20-12-2012,CA-2012-154795,Nu-Dell Float Frame 11 x 14 1/2,24-12-2012,Arizona,1,1,0.275,2,3.9512,14.368
Furnishings,Gilbert,United States,Katherine Murray,21-02-2014,CA-2014-135937,"Howard Miller 13"" Diameter Pewter Finish Round Wall Clock",28-02-2014,Arizona,1,1,0.2375,2,16.3172,68.704
Furnishings,Phoenix,United States,Maria Zettner,10-10-2013,CA-2013-114748,"Tenex 46"" x 60"" Computer Anti-Static Chairmat, Rectangular Shaped",15-10-2013,Arizona,1,1,0,2,0,169.568
Furnishings,Sierra Vista,United States,Tracy Blumstein,04-02-2013,CA-2013-117912,Nu-Dell Float Frame 11 x 14 1/2,08-02-2013,Arizona,1,1,0.275,2,3.9512,14.368
Furnishings,Tucson,United States,Carol Triggs,20-12-2011,CA-2011-138681,"Computer Room Manger, 14""",22-12-2011,Arizona,1,1,0.2,2,10.3936,51.968
Furnishings,Tucson,United States,Liz Pelletier,24-06-2011,CA-2011-159814,Acrylic Self-Standing Desk Frames,28-06-2011,Arizona,1,1,0.225,2,0.9612,4.272
Labels,Gilbert,United States,Craig Yedwab,28-06-2012,CA-2012-112144,Avery 501,02-07-2012,Arizona,1,1,0.3375,2,1.9926,5.904
Machines,Phoenix,United States,Laurel Workman,26-12-2013,CA-2013-109827,Panasonic KX MC6040 Color Laser Multifunction Printer,02-01-2014,Arizona,1,1,-1.433333333,2,-386.957,269.97
Paper,Gilbert,United States,Peter Fuller,15-06-2012,CA-2012-129896,Xerox 1895,20-06-2012,Arizona,1,1,0.3125,2,2.99,9.568
Paper,Glendale,United States,Arianne Irving,10-09-2014,CA-2014-155929,Unpadded Memo Slips,14-09-2014,Arizona,1,1,0.375,2,2.388,6.368
Paper,Phoenix,United States,Linda Cazamias,12-09-2013,CA-2013-143476,Great White Multi-Use Recycled Paper (20Lb. and 84 Bright),14-09-2013,Arizona,1,1,0.3125,2,2.99,9.568
Paper,Phoenix,United States,Maris LaWare,19-07-2014,US-2014-142573,Riverleaf Stik-Withit Designer Note Cubes,24-07-2014,Arizona,1,1,0.325,2,5.2312,16.096
Paper,Tempe,United States,Erin Smith,02-10-2011,CA-2011-108189,"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 300/Messages",05-10-2011,Arizona,1,1,0.3625,2,3.4104,9.408
Paper,Tucson,United States,Carol Triggs,20-12-2011,CA-2011-138681,Xerox 1954,22-12-2011,Arizona,1,1,0.3125,2,2.64,8.448
Phones,Peoria,United States,Andrew Gjertsen,26-10-2012,CA-2012-156146,Panasonic KX-TG6844B Expandable Digital Cordless Telephone,30-10-2012,Arizona,1,1,0.0875,2,9.2386,105.584
Phones,Peoria,United States,Andrew Gjertsen,26-10-2012,CA-2012-156146,Plantronics MX500i Earset,30-10-2012,Arizona,1,1,-0.2125,2,-14.603,68.72
Phones,Phoenix,United States,Adrian Barton,20-09-2014,CA-2014-153822,Polycom VoiceStation 500 ConferenceÂ phone,26-09-2014,Arizona,1,1,0.0625,2,29.495,471.92
Phones,Tempe,United States,Erin Smith,02-10-2011,CA-2011-108189,Bose SoundLink Bluetooth Speaker,05-10-2011,Arizona,1,1,0.3375,2,107.46,318.4
Phones,Tucson,United States,Carlos Meador,24-09-2012,CA-2012-147816,Samsung HM1900 Bluetooth Headset,26-09-2012,Arizona,1,1,0.375,2,13.17,35.12
Storage,Gilbert,United States,Katherine Murray,21-02-2014,CA-2014-135937,Fellowes Bankers Box Stor/Drawer Steel Plus,28-02-2014,Arizona,1,1,-0.125,2,-6.396,51.168
Storage,Gilbert,United States,Peter Fuller,15-06-2012,CA-2012-129896,"Belkin 19"" Vented Equipment Shelf, Black",20-06-2012,Arizona,1,1,-0.2375,2,-19.5624,82.368
Storage,Glendale,United States,Frank Olsen,09-06-2014,US-2014-107979,Rogers Deluxe File Chest,14-06-2014,Arizona,1,1,-0.2375,2,-8.3524,35.168
Storage,Phoenix,United States,Adrian Barton,20-09-2014,CA-2014-153822,Akro Stacking Bins,26-09-2014,Arizona,1,1,-0.2,2,-2.5248,12.624
Supplies,Tempe,United States,Erin Smith,02-10-2011,CA-2011-108189,Stiletto Hand Letter Openers,05-10-2011,Arizona,1,1,-0.2125,2,-3.264,15.36
Tables,Mesa,United States,Alex Grayson,23-12-2014,CA-2014-142909,"Lesro Round Back Collection Coffee Table, End Table",26-12-2014,Arizona,1,1,-0.74,2,-135.087,182.55
Accessories,Phoenix,United States,Laurel Workman,26-12-2013,CA-2013-109827,ImationÂ Clip USBÂ flash driveÂ - 8 GB,02-01-2014,Arizona,1,1,-0.175,3,-7.896,45.12
Accessories,Tucson,United States,Carol Triggs,20-12-2011,CA-2011-138681,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,22-12-2011,Arizona,1,1,0.3,3,21.5928,71.976
Art,Peoria,United States,Steven Cartwright,17-08-2012,CA-2012-119627,Newell 336,23-08-2012,Arizona,1,1,0.1125,3,1.1556,10.272
Binders,Phoenix,United States,Dean percer,08-09-2014,CA-2014-163692,Wilson Jones Leather-Like Binders with DublLock Round Rings,10-09-2014,Arizona,1,1,-0.766666667,3,-6.0237,7.857
Binders,Phoenix,United States,Nick Crebassa,10-12-2014,CA-2014-139402,"Acco Recycled 2"" Capacity Laser Printer Hanging Data Binders",14-12-2014,Arizona,1,1,-0.766666667,3,-9.9705,13.005
Binders,Phoenix,United States,Toby Braunhardt,22-06-2011,CA-2011-133389,SpineVue Locking Slant-D Ring Binders by Cardinal,22-06-2011,Arizona,1,1,-0.733333333,3,-6.0324,8.226
Binders,Tempe,United States,Eric Hoffmann,10-07-2012,CA-2012-149384,Accohide Poly Flexible Ring Binders,10-07-2012,Arizona,1,1,-0.666666667,3,-2.244,3.366
Chairs,Chandler,United States,James Lanier,25-12-2014,CA-2014-128734,Global Leather Executive Chair,01-01-2015,Arizona,1,1,0.125,3,105.297,842.376
Chairs,Glendale,United States,Cyma Kinney,26-07-2012,CA-2012-127754,Office Star - Contemporary Task Swivel Chair,31-07-2012,Arizona,1,1,0.05,3,13.3176,266.352
Chairs,Phoenix,United States,Maris LaWare,19-07-2014,US-2014-142573,High-Back Leather Manager's Chair,24-07-2014,Arizona,1,1,-0.1375,3,-42.8967,311.976
Chairs,Tucson,United States,Carol Triggs,20-12-2011,CA-2011-138681,Global Low Back Tilter Chair,22-12-2011,Arizona,1,1,-0.175,3,-42.4116,242.352
Envelopes,Scottsdale,United States,Sally Matthias,23-11-2011,CA-2011-159625,Staples,28-11-2011,Arizona,1,1,0.375,3,8.802,23.472
Fasteners,Phoenix,United States,Roger Demir,09-08-2011,CA-2011-161249,"Super Bands, 12/Pack",13-08-2011,Arizona,1,1,-0.2125,3,-0.9486,4.464
Furnishings,Phoenix,United States,Randy Ferguson,13-12-2011,CA-2011-124079,"Electrix Incandescent Magnifying Lamp, Black",17-12-2011,Arizona,1,1,0.0875,3,7.6965,87.96
Furnishings,Tucson,United States,Cathy Prescott,03-09-2012,CA-2012-113215,"GE 48"" Fluorescent Tube, Cool White Energy Saver, 34 Watts, 30/Box",08-09-2012,Arizona,1,1,0.375,3,89.307,238.152
Paper,Glendale,United States,Gary Hansen,03-08-2011,CA-2011-128986,White Computer Printout Paper by Universal,05-08-2011,Arizona,1,1,0.3625,3,33.7212,93.024
Paper,Glendale,United States,Jim Mitchum,08-04-2011,CA-2011-100363,Things To Do Today Spiral Book,15-04-2011,Arizona,1,1,0.3625,3,6.8904,19.008
Paper,Mesa,United States,Heather Jas,13-04-2012,CA-2012-100216,Xerox 1973,14-04-2012,Arizona,1,1,0.325,3,17.8152,54.816
Paper,Phoenix,United States,Candace McMahon,29-05-2014,CA-2014-145765,Xerox 230,03-06-2014,Arizona,1,1,0.35,3,5.4432,15.552
Phones,Gilbert,United States,Katherine Murray,21-02-2014,CA-2014-135937,Toshiba IPT2010-SD IPÂ Telephone,28-02-2014,Arizona,1,1,0.075,3,25.0182,333.576
Phones,Tempe,United States,Erin Smith,02-10-2011,CA-2011-108189,Pyle PMP37LED,05-10-2011,Arizona,1,1,0.0875,3,20.1579,230.376
Storage,Mesa,United States,Toby Gnade,14-07-2012,CA-2012-143364,SAFCO Boltless Steel Shelving,19-07-2012,Arizona,1,1,-0.2375,3,-64.7748,272.736
Accessories,Avondale,United States,Philip Brown,30-11-2011,CA-2011-146843,"Memorex 25GB 6X Branded Blu-Ray Recordable Disc, 30/Pack",06-12-2011,Arizona,1,1,-0.1625,4,-16.614,102.24
Accessories,Peoria,United States,Steven Cartwright,17-08-2012,CA-2012-119627,First Data FD10 PIN Pad,23-08-2012,Arizona,1,1,-0.125,4,-31.6,252.8
Accessories,Phoenix,United States,Candace McMahon,29-05-2014,CA-2014-145765,LogitechÂ Gaming G510s - Keyboard,03-06-2014,Arizona,1,1,0.2,4,54.3936,271.968
Appliances,Phoenix,United States,Emily Burns,23-05-2012,US-2012-110569,Fellowes Superior 10 Outlet Split Surge Protector,30-05-2012,Arizona,1,1,0.1125,4,13.7016,121.792
Art,Chandler,United States,Larry Hughes,26-04-2014,CA-2014-129707,Newell 318,30-04-2014,Arizona,1,1,0.075,4,0.6672,8.896
Art,Yuma,United States,Dario Medina,30-09-2013,CA-2013-106621,Newell 351,02-10-2013,Arizona,1,1,0.1125,4,1.1808,10.496
Binders,Phoenix,United States,Adrian Barton,20-09-2014,CA-2014-153822,Plastic Binding Combs,26-09-2014,Arizona,1,1,-0.766666667,4,-13.938,18.18
Binders,Phoenix,United States,Maris LaWare,19-07-2014,US-2014-142573,Acco Expandable Hanging Binders,24-07-2014,Arizona,1,1,-0.8,4,-6.1248,7.656
Furnishings,Chandler,United States,James Lanier,25-12-2014,CA-2014-128734,Acrylic Self-Standing Desk Frames,01-01-2015,Arizona,1,1,0.225,4,1.9224,8.544
